Device,Time,DHT1-OUT Temp,DHT1-OUT Hum,DHT2-IN Temp,DHT2-IN Hum,Soil,Infrared
S131,1486911899,21.60,19.40,21.30,22.20,0.10,17.30
S131,1486912198,21.50,19.30,21.30,22.20,0.10,17.30
S131,1486912497,21.60,19.20,21.30,21.90,0.10,17.30
S131,1486912796,21.70,19.30,21.20,22.20,0.10,17.30
S131,1486913095,21.70,19.20,21.20,22.50,0.10,17.30
S131,1486913394,21.70,19.30,21.10,22.20,0.10,17.30
S131,1486913693,22.20,19.40,21.20,22.00,0.10,17.30
S131,1486913992,22.30,19.20,21.00,22.30,0.10,17.30
S131,1486914291,22.20,19.00,21.00,22.30,0.10,17.30
S131,1486914590,22.20,19.10,20.90,22.30,0.10,17.30
Device,Time,DHT1-OUT Temp,DHT1-OUT Hum,DHT2-IN Temp,DHT2-IN Hum,Soil,Infrared
S131,1486911899,21.90,19.10,21.20,22.10,0.10,17.30
S131,1486912198,21.90,19.10,21.00,22.30,0.10,17.30
S131,1486912497,21.80,19.20,20.90,22.30,0.10,17.30
S131,1486912796,21.80,19.20,20.90,22.30,0.10,17.30
S131,1486913095,21.70,19.30,20.90,22.30,0.10,17.30
S131,1486913394,21.70,19.40,20.90,22.30,0.10,17.30
S131,1486913693,21.60,19.50,20.80,22.20,0.10,17.30
S131,1486913992,21.50,19.30,20.90,22.30,0.10,17.30
S131,1486914291,21.50,19.50,20.80,22.20,0.10,17.30
S131,1486914590,21.50,19.50,20.80,22.20,0.10,17.30
S131,1486914889,21.40,19.50,20.80,22.20,0.10,17.30
S131,1486915188,21.40,19.60,20.80,22.20,0.10,17.30
S131,1486915487,21.40,19.60,20.70,22.30,0.10,17.30
S131,1486915786,21.30,19.60,20.60,22.50,0.10,17.30
S131,1486916085,21.30,19.70,20.50,22.50,0.10,17.30
S131,1486916385,21.20,19.70,20.40,22.70,0.10,17.30
S131,1486916684,21.20,19.90,20.30,22.80,0.10,17.30
S131,1486916983,21.10,19.80,20.30,22.90,0.10,17.30
S131,1486917282,21.00,19.80,20.20,22.90,0.10,17.30
S131,1486917581,21.00,19.80,20.20,23.00,0.10,17.30
S131,1486917880,21.00,19.80,20.10,23.10,0.10,17.30
S131,1486918180,20.90,19.80,20.00,23.00,0.10,17.30
S131,1486918479,20.80,19.70,20.00,23.20,0.10,17.30
S131,1486918778,20.80,19.70,19.90,23.10,0.10,17.30
S131,1486919078,20.70,19.60,19.80,23.20,0.10,17.30
S131,1486919377,20.60,19.80,19.70,23.30,0.10,17.30
S131,1486919676,20.50,19.90,19.70,23.50,0.10,17.30
