Device,Time,DHT1-OUT Temp,DHT1-OUT Hum,DHT2-IN Temp,DHT2-IN Hum,Soil,Infrared
S131,1486911899,21.60,6.50,21.60,6.40,18.30,17.50
S131,1486912198,21.60,6.80,21.40,6.10,18.30,17.50
S131,1486912497,21.60,6.50,21.40,6.40,18.30,17.50
S131,1486912796,21.60,7.00,21.30,6.70,18.30,17.50
S131,1486913095,21.60,6.70,21.30,6.30,18.30,17.50
S131,1486913394,21.60,7.00,21.30,6.20,18.30,17.50
S131,1486913693,21.60,6.50,21.30,6.50,18.30,17.50
S131,1486913992,21.50,6.60,21.30,6.50,18.30,17.50
S131,1486914291,21.50,7.00,21.40,6.40,18.30,17.50
S131,1486914590,21.50,7.10,21.40,6.20,18.30,17.50
S131,1486914889,21.50,7.10,21.40,6.10,18.30,17.50
S131,1486915188,21.50,7.30,21.40,6.10,18.30,17.50
S131,1486915487,21.50,7.10,21.30,6.30,18.30,17.50
S131,1486915786,21.50,7.10,21.30,6.00,18.30,17.50
S131,1486916085,21.50,7.00,21.20,6.10,18.30,17.50
S131,1486916385,21.50,6.80,21.20,6.30,18.30,17.50
S131,1486916684,21.50,7.00,21.10,6.10,18.30,17.50
S131,1486916983,21.50,6.70,21.10,6.10,18.30,17.50
S131,1486917282,21.50,7.20,21.10,6.10,18.30,17.50
S131,1486917581,21.50,6.80,21.20,6.30,18.30,17.50
S131,1486917880,21.50,7.00,21.10,6.10,18.30,17.50
S131,1486918180,21.40,6.90,21.10,5.80,18.30,17.50
S131,1486918479,21.40,6.60,21.00,5.70,18.30,17.50
S131,1486918779,21.40,6.50,21.00,5.90,18.30,17.50
S131,1486919078,21.40,6.40,21.00,6.10,18.30,17.50
S131,1486919377,21.40,6.50,21.10,6.10,18.30,17.50
S131,1486919676,21.40,7.00,21.20,6.00,18.30,17.50
S131,1486919976,21.40,6.90,21.20,5.80,18.30,17.50
S131,1486920275,21.40,6.60,21.10,5.50,18.30,17.50
S131,1486920574,21.40,6.70,21.10,5.70,18.30,17.50
S131,1486920873,21.30,6.50,21.00,5.50,18.30,17.50
S131,1486921173,21.30,6.90,21.10,5.80,18.30,17.50
S131,1486921472,21.30,6.80,21.20,6.00,18.30,17.50
S131,1486921771,21.30,7.10,21.20,6.00,18.30,17.50
S131,1486922070,21.40,7.20,21.20,5.90,18.30,17.50
S131,1486922370,21.30,6.70,21.20,5.90,18.30,17.50
S131,1486922669,21.30,6.80,21.10,5.60,18.30,17.50
S131,1486922969,21.30,6.50,21.00,5.50,18.30,17.50
S131,1486923268,21.30,6.60,21.00,5.70,18.30,17.50
S131,1486923567,21.30,6.90,21.10,5.80,18.30,17.50
S131,1486923867,21.30,7.20,21.10,6.00,18.30,17.50
S131,1486924166,21.30,7.10,21.10,5.90,18.30,17.50
S131,1486924465,21.30,7.10,21.10,5.80,18.30,17.50
S131,1486924764,21.30,6.80,21.00,5.50,18.30,17.50
S131,1486925063,21.30,6.60,21.00,5.50,18.30,17.50
S131,1486925362,21.30,6.80,21.00,5.80,18.30,17.50
S131,1486925661,21.30,6.80,21.10,5.80,18.30,17.50
S131,1486925961,21.30,7.00,21.10,5.90,18.30,17.50
S131,1486926260,21.30,6.60,21.10,5.80,18.30,17.50
S131,1486926559,21.30,6.80,21.10,5.70,18.30,17.50
S131,1486926858,21.30,6.40,21.00,6.00,18.30,17.50
S131,1486927157,21.30,6.70,21.00,5.50,18.30,17.50
S131,1486927456,21.30,6.80,21.00,5.70,18.30,17.50
S131,1486927755,21.30,6.80,21.10,5.60,18.30,17.50
S131,1486928054,21.30,7.10,21.10,5.80,18.30,17.50
S131,1486928353,21.30,6.40,21.10,5.70,18.30,17.50
S131,1486928652,21.30,6.50,21.10,5.40,18.30,17.50
S131,1486928951,21.30,6.70,21.00,5.30,18.30,17.50
S131,1486929250,21.30,6.50,21.00,5.80,18.30,17.50
S131,1486929549,21.30,6.80,21.10,5.80,18.30,17.50
S131,1486929848,21.20,6.90,21.10,5.70,18.30,17.50
S131,1486930147,21.20,6.40,21.10,5.70,18.30,17.50
S131,1486930446,21.30,7.10,21.20,5.80,18.30,17.50
S131,1486930745,21.30,6.80,21.10,5.60,18.30,17.50
S131,1486931044,21.20,6.60,21.00,5.40,18.30,17.50
S131,1486931343,21.20,6.70,21.00,5.50,18.30,17.50
S131,1486931642,21.20,6.80,21.00,5.50,18.30,17.50
