Device,Time,DHT1-OUT Temp,DHT1-OUT Hum,DHT2-IN Temp,DHT2-IN Hum,Soil,Infrared
S146,1486911899,20.70,10.90,20.70,7.50,0.30,17.60
S146,1486912198,20.70,10.80,20.70,7.10,0.30,17.60
S146,1486912497,20.70,11.10,20.70,7.40,0.30,17.60
S146,1486912796,20.80,11.20,20.70,7.40,0.30,17.60
S146,1486913095,20.80,11.40,20.80,7.70,0.30,17.60
S146,1486913394,20.80,11.50,20.80,7.90,0.30,17.60
S146,1486913693,20.90,12.00,20.80,8.50,0.30,17.60
S146,1486913992,20.80,11.60,20.70,7.90,0.30,17.60
S146,1486914291,20.80,11.60,20.70,7.90,0.30,17.60
S146,1486914590,20.80,11.50,20.70,7.80,0.30,17.60
S146,1486914889,20.80,11.40,20.70,7.80,0.30,17.60
S146,1486915188,20.80,11.50,20.70,7.90,0.30,17.60
S146,1486915487,20.80,11.90,20.80,8.10,0.30,17.60
S146,1486915786,20.90,12.00,20.80,8.20,0.30,17.60
S146,1486916085,20.90,12.50,20.80,8.90,0.30,17.60
S146,1486916384,20.90,12.30,20.90,8.90,0.30,17.60
S146,1486916683,20.90,12.30,21.00,8.80,0.30,17.60
S146,1486916982,20.90,12.70,21.00,9.00,0.30,17.60
S146,1486917281,21.00,12.60,21.00,9.10,0.30,17.60
S146,1486917580,20.90,12.90,20.90,9.30,0.30,17.60
S146,1486917879,20.90,12.80,20.80,9.20,0.30,17.60
S146,1486918179,20.90,13.10,20.80,9.40,0.30,17.60
S146,1486918478,20.90,13.10,20.90,9.50,0.30,17.60
S146,1486918777,20.90,13.00,20.80,9.20,0.30,17.60
S146,1486919077,20.90,13.10,20.90,9.40,0.30,17.60
S146,1486919376,20.90,13.10,20.90,9.40,0.30,17.60
S146,1486919675,20.90,13.20,20.90,9.50,0.30,17.60
S146,1486919975,20.90,13.30,20.90,9.60,0.30,17.60
S146,1486920274,20.90,13.10,20.80,9.50,0.30,17.60
S146,1486920573,20.90,13.20,20.80,9.30,0.30,17.60
S146,1486920872,20.90,13.30,20.80,9.70,0.30,17.60
S146,1486921172,20.90,13.40,20.90,9.70,0.30,17.60
S146,1486921471,20.90,13.80,20.90,10.20,0.30,17.60
S146,1486921770,20.90,14.40,21.00,10.60,0.30,17.60
S146,1486922069,22.30,15.40,21.30,14.60,0.30,17.60
S146,1486922369,21.60,14.00,22.60,9.10,0.30,17.60
S146,1486922668,21.50,13.70,21.50,9.70,0.30,17.60
S146,1486922968,21.40,13.70,21.10,9.70,0.30,17.60
S146,1486923267,21.30,14.10,21.10,10.00,0.30,17.60
S146,1486923566,21.30,14.00,21.00,10.50,0.30,17.60
S146,1486923865,21.20,13.70,20.90,9.90,0.30,17.60
S146,1486924164,21.20,13.70,20.90,9.90,0.30,17.60
S146,1486924463,21.20,13.80,20.90,9.80,0.30,17.60
S146,1486924763,21.10,13.80,20.90,9.90,0.30,17.60
S146,1486925062,21.10,13.80,20.90,9.90,0.30,17.60
S146,1486925361,21.10,13.90,20.90,9.90,0.30,17.60
S146,1486925660,21.10,13.80,20.90,9.90,0.30,17.60
S146,1486925960,21.00,13.70,20.90,9.90,0.30,17.60
S146,1486926259,21.00,13.80,20.90,9.90,0.30,17.60
S146,1486926558,21.00,13.80,20.80,9.80,0.30,17.60
S146,1486926857,21.00,13.90,20.90,9.90,0.30,17.60
S146,1486927156,21.00,13.90,20.90,9.90,0.30,17.60
S146,1486927455,21.00,13.90,20.90,9.90,0.30,17.60
S146,1486927754,21.00,13.90,20.90,9.90,0.30,17.60
S146,1486928053,21.00,13.90,20.80,9.90,0.30,17.60
S146,1486928352,21.00,13.90,20.90,10.00,0.30,17.60
S146,1486928651,21.00,14.00,20.80,10.00,0.30,17.60
S146,1486928950,21.00,14.50,20.80,10.20,0.30,17.60
S146,1486929249,21.00,14.50,20.90,10.30,0.30,17.60
S146,1486929548,20.90,14.40,20.90,10.40,0.30,17.60
S146,1486929847,20.90,14.40,20.90,10.40,0.30,17.60
S146,1486930146,20.90,14.40,20.90,10.50,0.30,17.60
S146,1486930445,20.90,14.40,20.90,10.60,0.30,17.60
S146,1486930744,20.90,14.40,20.80,10.60,0.30,17.60
S146,1486931043,20.90,14.40,20.90,15.60,0.30,17.60
S146,1486931342,20.90,14.40,20.80,10.80,0.30,17.60
S146,1486931641,20.90,14.40,20.90,10.80,0.30,17.60
S146,1486931940,20.90,14.40,20.80,10.70,0.30,17.60
S146,1486932239,20.90,14.40,20.80,10.90,0.30,17.60
S146,1486932539,20.90,14.40,20.80,10.70,0.30,17.60
S146,1486932838,20.90,14.40,20.80,11.00,0.30,17.60
S146,1486933137,20.90,14.40,20.70,11.40,0.30,17.60
S146,1486933436,20.90,14.40,20.80,11.20,0.30,17.60
S146,1486933735,20.90,14.90,20.70,11.10,0.30,17.60
S146,1486934034,20.90,14.40,20.80,11.10,0.30,17.60
S146,1486934333,20.90,14.40,20.80,11.00,0.30,17.60
S146,1486934632,20.90,14.40,20.80,11.00,0.30,17.60
S146,1486934931,20.90,14.40,20.80,11.10,0.30,17.60
S146,1486935230,20.90,14.40,20.70,11.10,0.30,17.60
S146,1486935529,20.90,14.40,20.70,11.20,0.30,17.60
S146,1486935828,20.90,14.40,20.70,11.20,0.30,17.60
S146,1486936127,20.90,14.40,20.70,11.30,0.30,17.60
S146,1486936426,20.80,14.40,20.70,11.30,0.30,17.60
S146,1486936725,20.80,14.40,20.70,11.30,0.30,17.60
S146,1486937024,20.80,14.40,20.70,11.30,0.30,17.60
S146,1486937323,20.80,14.40,20.70,11.40,0.30,17.60
S146,1486937622,20.80,14.40,20.70,11.50,0.30,17.60
S146,1486937921,20.80,14.70,20.70,11.60,0.30,17.60
S146,1486938220,20.80,15.00,20.70,11.70,0.30,17.60
S146,1486938519,20.80,15.30,20.80,12.00,0.30,17.60
S146,1486938818,20.90,15.70,20.90,11.80,0.30,17.60
S146,1486939117,20.90,15.80,20.90,12.10,0.30,17.60
S146,1486939416,20.90,15.40,20.90,11.90,0.30,17.60
S146,1486939715,20.90,15.10,20.80,11.70,0.30,17.60
S146,1486940014,20.90,15.20,20.70,12.00,0.30,17.60
S146,1486940313,20.90,15.20,20.60,12.00,0.30,17.60
S146,1486940612,20.80,15.00,20.40,11.80,0.30,17.60
S146,1486940911,20.80,15.00,20.30,11.90,0.30,17.60
S146,1486941210,20.80,15.00,20.20,11.90,0.30,17.60
S146,1486941509,20.70,15.00,20.20,12.00,0.30,17.60
S146,1486941808,20.70,15.00,20.10,12.00,0.30,17.60
S146,1486942107,20.60,15.00,20.00,12.00,0.30,17.60
S146,1486942406,20.50,15.00,20.00,12.00,0.30,17.60
S146,1486942705,20.50,15.10,19.90,12.00,0.30,17.60
S146,1486943004,20.50,15.10,19.80,12.00,0.30,17.60
S146,1486943303,20.40,15.10,19.80,12.10,0.30,17.60
S146,1486943602,20.40,15.20,19.70,12.10,0.30,17.60
S146,1486943901,20.30,15.20,19.70,12.10,0.30,17.60
S146,1486944200,20.30,15.20,19.70,12.20,0.30,17.60
S146,1486944499,20.20,15.30,19.60,12.30,0.30,17.60
S146,1486944798,20.20,15.40,19.60,12.40,0.30,17.60
S146,1486945097,20.10,15.40,19.50,12.50,0.30,17.60
S146,1486945396,20.10,15.50,19.50,12.50,0.30,17.60
S146,1486945695,20.10,15.50,19.50,12.50,0.30,17.60
S146,1486945994,20.10,15.50,19.40,12.40,0.30,17.60
S146,1486946293,20.00,15.50,19.40,12.50,0.30,17.60
S146,1486946592,20.00,15.60,19.40,12.60,0.30,17.60
S146,1486946891,19.90,15.60,19.30,12.60,0.30,17.60
S146,1486947190,19.90,15.70,19.30,12.70,0.30,17.50
S146,1486947489,19.90,15.70,19.30,12.70,0.30,17.60
S146,1486947788,19.80,15.90,19.30,13.00,0.30,17.60
S146,1486948087,19.80,16.20,19.20,13.30,0.30,17.60
S146,1486948386,19.80,16.20,19.20,13.30,0.30,17.60
S146,1486948685,19.80,16.20,19.20,13.30,0.30,17.60
S146,1486948984,19.70,16.20,19.20,13.30,0.30,17.60
S146,1486949283,19.70,16.20,19.20,13.30,0.30,17.60
S146,1486949582,19.70,16.20,19.10,13.20,0.30,17.60
S146,1486949881,19.60,16.10,19.10,13.20,0.30,17.60
S146,1486950181,19.60,16.10,19.10,13.20,0.30,17.60
S146,1486950480,19.60,16.10,19.10,13.20,0.30,17.60
S146,1486950779,19.60,16.20,19.00,13.10,0.30,17.60
