Device,Time,DHT1-OUT Temp,DHT1-OUT Hum,DHT2-IN Temp,DHT2-IN Hum,Soil,Infrared
S201,1486911899,33.40,25.60,33.60,20.90,18.40,17.70
S201,1486912198,33.50,26.40,33.50,21.70,18.40,17.70
S201,1486912497,33.60,26.20,33.50,21.50,18.40,17.70
S201,1486912796,33.60,26.90,33.50,22.40,18.40,17.70
S201,1486913095,33.70,26.70,33.60,22.10,18.40,17.70
S201,1486913394,33.80,26.60,33.80,21.90,18.40,17.70
S201,1486913693,33.80,26.40,33.90,21.60,18.40,17.70
S201,1486913992,33.80,26.90,34.00,22.20,18.40,17.70
S201,1486914291,33.90,26.00,34.00,21.10,18.40,17.70
S201,1486914590,33.90,25.30,34.00,20.40,18.40,17.70
S201,1486914889,33.90,24.90,34.00,20.10,18.40,17.70
S201,1486915188,33.90,24.90,34.00,20.10,18.40,17.70
S201,1486915487,33.90,25.00,34.00,20.30,18.40,17.70
S201,1486915786,33.90,25.50,34.00,20.70,18.40,17.70
S201,1486916085,34.00,25.70,34.00,20.90,18.40,17.70
S201,1486916385,34.00,25.70,34.00,21.00,18.40,17.70
S201,1486916684,34.00,25.60,34.00,20.90,18.40,17.70
S201,1486916983,34.00,25.60,33.90,20.90,18.40,17.70
S201,1486917283,33.90,25.60,33.90,21.00,18.40,17.70
S201,1486917582,33.90,26.10,33.90,21.00,18.40,17.70
S201,1486917881,33.90,25.60,33.90,20.90,18.40,17.70
S201,1486918181,33.90,25.50,33.90,20.80,18.40,17.70
S201,1486918480,33.90,25.50,33.80,20.70,18.40,17.70
S201,1486918780,33.80,25.20,33.80,20.60,18.40,17.70
S201,1486919079,33.80,25.30,33.80,20.60,18.40,17.70
S201,1486919378,33.80,25.20,33.70,20.60,18.40,17.70
S201,1486919677,33.70,25.00,33.70,20.40,18.40,17.70
S201,1486919977,33.70,24.80,33.70,20.20,18.40,17.70
S201,1486920276,33.70,24.80,33.70,20.20,18.40,17.70
S201,1486920575,33.60,24.70,33.60,20.20,18.40,17.70
S201,1486920874,33.60,24.70,33.60,20.10,18.40,17.70
S201,1486921174,33.60,24.70,33.60,20.10,18.40,17.70
S201,1486921473,33.50,24.70,33.50,20.10,18.40,17.70
S201,1486921772,33.50,24.70,33.50,20.00,18.40,17.70
S201,1486922071,33.50,24.70,33.40,20.00,18.40,17.70
S201,1486922371,33.40,24.60,33.40,19.90,18.40,17.70
S201,1486922670,33.40,24.60,33.30,19.80,18.40,17.70
S201,1486922970,33.40,24.60,33.30,19.70,18.40,17.70
S201,1486923269,33.30,24.30,33.20,19.50,18.40,17.70
S201,1486923568,33.30,24.20,33.20,19.50,18.40,17.70
S201,1486923868,33.20,24.10,33.20,19.50,18.40,17.70
S201,1486924167,33.10,23.90,33.10,19.30,18.40,17.70
S201,1486924466,33.10,23.80,33.00,19.20,18.40,17.70
S201,1486924765,33.10,23.80,33.00,19.10,18.40,17.70
S201,1486925064,33.00,23.70,33.00,19.10,18.40,17.70
S201,1486925363,33.00,23.80,33.00,19.10,18.40,17.70
S201,1486925662,32.90,23.70,32.90,19.00,18.40,17.70
S201,1486925962,32.90,23.70,32.90,19.00,18.40,17.70
S201,1486926261,32.90,23.70,32.90,19.00,18.40,17.70
S201,1486926560,32.90,23.70,32.90,19.00,18.40,17.70
S201,1486926859,32.80,23.90,32.80,19.30,18.40,17.70
S201,1486927158,32.80,24.80,32.90,20.20,18.40,17.70
S201,1486927457,32.80,25.00,32.90,20.40,18.40,17.70
S201,1486927756,32.80,25.50,32.90,21.00,18.40,17.70
S201,1486928055,32.90,26.50,32.90,21.40,18.40,17.70
S201,1486928354,32.90,26.60,32.90,21.90,18.40,17.70
S201,1486928653,32.90,27.00,32.90,22.40,18.40,17.70
S201,1486928952,32.80,27.40,32.90,23.00,18.40,17.70
S201,1486929251,32.80,27.90,32.80,23.30,18.40,17.70
S201,1486929550,32.80,28.10,32.80,23.30,18.40,17.70
S201,1486929849,32.80,28.10,32.80,23.60,18.40,17.70
S201,1486930148,32.80,28.20,32.70,23.80,18.40,17.70
S201,1486930447,32.70,28.50,32.60,24.00,18.40,17.70
S201,1486930746,32.60,28.80,32.60,24.20,18.40,17.70
S201,1486931045,32.60,28.90,32.60,24.30,18.40,17.70
S201,1486931344,32.60,29.00,32.60,24.40,18.40,17.70
S201,1486931643,32.60,29.10,32.50,24.40,18.40,17.70
S201,1486931942,32.50,29.00,32.50,24.30,18.40,17.70
S201,1486932241,32.50,29.20,32.50,24.60,18.40,17.70
S201,1486932540,32.50,29.30,32.50,24.70,18.40,17.70
S201,1486932839,32.50,29.40,32.50,24.80,18.40,17.70
S201,1486933138,32.50,29.60,32.50,24.90,18.40,17.70
S201,1486933437,32.40,29.70,32.40,25.20,18.40,17.70
S201,1486933736,32.40,30.00,32.40,25.40,18.40,17.70
S201,1486934035,32.40,30.40,32.40,25.80,18.40,17.70
S201,1486934334,32.50,31.30,32.30,26.70,18.40,17.70
S201,1486934633,32.50,32.70,32.30,27.00,18.40,17.70
S201,1486934932,32.40,32.40,32.20,29.60,18.40,17.70
S201,1486935231,32.40,33.10,32.10,29.10,18.40,17.70
S201,1486935530,32.30,32.90,32.10,28.40,18.40,17.70
S201,1486935829,32.30,33.30,32.00,28.90,18.40,17.70
S201,1486936128,32.30,33.50,32.00,29.00,18.40,17.70
S201,1486936427,32.30,33.50,32.00,29.10,18.40,17.70
S201,1486936726,32.20,31.90,32.00,28.20,18.40,17.70
S201,1486937025,32.20,32.80,31.90,28.00,18.40,17.70
S201,1486937324,32.20,33.10,31.90,28.20,18.40,17.70
S201,1486937623,32.10,33.20,31.90,28.40,18.40,17.70
S201,1486937922,32.10,33.30,31.80,28.40,18.40,17.70
S201,1486938221,32.10,33.40,31.80,28.40,18.40,17.70
S201,1486938520,32.10,33.40,31.70,28.50,18.40,17.70
S201,1486938819,32.00,33.40,31.70,28.50,18.40,17.70
S201,1486939118,32.10,33.50,31.70,28.50,18.40,17.70
S201,1486939417,32.00,33.60,31.70,28.60,18.40,17.70
S201,1486939716,32.00,33.60,31.60,28.60,18.40,17.70
S201,1486940015,32.00,33.70,31.60,28.60,18.40,17.70
S201,1486940314,31.90,33.70,31.60,28.70,18.40,17.70
S201,1486940613,31.90,33.70,31.60,28.70,18.40,17.70
S201,1486940912,32.00,33.90,31.60,28.70,18.40,17.70
S201,1486941211,31.90,34.40,31.60,28.80,18.40,17.70
S201,1486941510,31.90,33.90,31.60,28.80,18.40,17.70
S201,1486941809,31.90,34.00,31.60,28.90,18.40,17.70
S201,1486942108,31.90,34.00,31.50,28.80,18.40,17.70
S201,1486942407,31.80,34.00,31.50,28.80,18.40,17.70
S201,1486942706,31.80,34.10,31.50,28.90,18.40,17.70
S201,1486943005,31.80,34.10,31.50,28.90,18.40,17.70
S201,1486943304,31.80,34.20,31.50,28.90,18.40,17.70
S201,1486943603,31.80,34.20,31.50,28.90,18.40,17.70
S201,1486943902,31.80,34.20,31.40,28.90,18.40,17.70
S201,1486944201,31.70,34.20,31.40,28.90,18.40,17.70
S201,1486944500,31.70,34.30,31.40,29.00,18.40,17.70
S201,1486944799,31.70,34.30,31.40,28.90,18.40,17.70
S201,1486945098,31.70,34.40,31.40,29.00,18.40,17.70
S201,1486945397,31.70,34.40,31.30,29.00,18.40,17.70
S201,1486945696,31.70,34.40,31.30,29.00,18.40,17.70
S201,1486945995,31.60,35.00,31.30,29.00,18.40,17.70
S201,1486946294,31.60,34.40,31.30,29.00,18.40,17.70
S201,1486946593,31.60,34.50,31.30,29.00,18.40,17.70
S201,1486946892,31.60,34.50,31.30,29.00,18.40,17.70
S201,1486947191,31.60,34.50,31.30,29.00,18.40,17.70
S201,1486947490,31.50,34.50,31.20,29.00,18.40,17.70
S201,1486947789,31.50,34.60,31.20,29.00,18.40,17.70
S201,1486948088,31.50,34.60,31.20,29.00,18.40,17.70
S201,1486948387,31.50,34.60,31.20,29.00,18.40,17.70
S201,1486948686,31.50,34.60,31.20,29.00,18.40,17.70
S201,1486948985,31.50,34.60,31.20,28.90,18.40,17.70
S201,1486949284,31.40,34.60,31.10,28.90,18.40,17.70
S201,1486949583,31.40,34.60,31.10,28.90,18.40,17.70
